Which of the following is a proper noun?,A proper noun names a specific person or place. 'Delhi' is a specific city name.,Dog,Delhi,Happiness,Courage,2,1,1
What type of noun is 'team' or 'army'?,A collective noun refers to a group of people or things as a single unit.,Proper noun,Abstract noun,Collective noun,Material noun,3,1,2
Which of the following is an abstract noun?,Abstract nouns name ideas or qualities that cannot be seen or touched. 'Freedom' is one such concept.,River,Freedom,Tiger,Mountain,2,1,3
What is the plural of 'child'?,The word child has an irregular plural form — children — not childs.,Childs,Childes,Children,Childrens,3,1,4
Which sentence contains a common noun?,"A common noun names any general person, place, or thing — not a specific one.",'Sachin scored a century.','Mumbai is crowded.','The boy kicked the ball.','India won the match.',3,1,5
Which of the following is a material noun?,Material nouns name raw materials or substances from which things are made. Gold is an example.,Kindness,Gold,Flock,London,2,2,6
'Furniture' is an example of which type of noun?,Furniture is a collective noun used to refer to a group of items used in a room together.,Proper noun,Abstract noun,Collective noun,Material noun,3,2,7
Identify the noun in this sentence: 'The teacher explained the lesson.','Teacher' is a common noun referring to a person. 'Lesson' is also a noun but the question asks you to identify any noun.,Teacher,Explained,Slowly,The,1,2,8
Which of the following nouns is both singular and plural?,Sheep does not change its form whether you are referring to one animal or many.,Deer,Sheep,Fish,Both Deer and Sheep,4,2,9
Which of the following is a compound noun?,A compound noun is made up of two or more words that together form a single noun. 'Toothbrush' is a classic example.,Beautiful,Toothbrush,Running,Quickly,2,2,10
